"flightDate","origin","des","l1.actDepTime","l1.actArrTime","l1.carrier","l1.origin","l1.dest","l2.actDepTime","l2.actArrTime","l2.carrier","l2.origin","l2.dest"
20111001,"BOS","SEA",658,943,"AA","BOS","DFW",1852,2103,"AS","DFW","SEA"
20111001,"BOS","SEA",559,854,"AA","BOS","DFW",1852,2103,"AS","DFW","SEA"
20110411,"BOS","DEN",604,908,"B6","BOS","FLL",1441,1722,"F9","FLL","DEN"
20110411,"BOS","DEN",604,908,"B6","BOS","FLL",1458,1722,"F9","FLL","DEN"
20111001,"BOS","SEA",723,1036,"CO","BOS","IAH",1441,1701,"CO","IAH","SEA"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",2053,2348,"MQ","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",1530,1830,"F9","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",2019,2313,"F9","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",2011,2310,"F9","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",1739,2033,"UA","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",1727,2032,"UA","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",1527,1820,"UA","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",1825,2119,"UA","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",1828,2128,"UA","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",2050,2339,"MQ","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",1928,2214,"WN","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",1556,1853,"WN","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",1949,2254,"WN","LAX","DEN"
20110411,"BOS","DEN",820,1157,"UA","BOS","LAX",1540,1840,"WN","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",2053,2348,"MQ","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",1530,1830,"F9","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",2019,2313,"F9","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",2011,2310,"F9","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",1739,2033,"UA","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",1727,2032,"UA","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",1527,1820,"UA","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",1825,2119,"UA","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",1828,2128,"UA","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",2050,2339,"MQ","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",1928,2214,"WN","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",1556,1853,"WN","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",1949,2254,"WN","LAX","DEN"
20110411,"BOS","DEN",909,1237,"B6","BOS","LAX",1540,1840,"WN","LAX","DEN"
20111001,"BOS","SEA",726,1006,"AA","BOS","LAX",1945,2208,"AS","LAX","SEA"
20111001,"BOS","SEA",726,1006,"AA","BOS","LAX",1555,1823,"AS","LAX","SEA"
20111001,"BOS","SEA",724,1027,"B6","BOS","LAX",1945,2208,"AS","LAX","SEA"
20111001,"BOS","SEA",724,1027,"B6","BOS","LAX",1555,1823,"AS","LAX","SEA"
20110411,"BOS","DEN",559,838,"B6","BOS","MCO",1755,2009,"WN","MCO","DEN"
20110411,"BOS","DEN",1124,1425,"FL","BOS","MCO",1755,2009,"WN","MCO","DEN"
20110411,"BOS","DEN",717,1009,"DL","BOS","MCO",1755,2009,"WN","MCO","DEN"
20110411,"BOS","DEN",959,1255,"B6","BOS","MCO",1755,2009,"WN","MCO","DEN"
20111001,"BOS","SEA",638,940,"B6","BOS","MCO",1808,2105,"AS","MCO","SEA"
20111001,"BOS","SEA",638,940,"B6","BOS","MCO",1823,2112,"AS","MCO","SEA"
20111001,"BOS","SEA",1121,1438,"FL","BOS","MCO",1808,2105,"AS","MCO","SEA"
20111001,"BOS","SEA",1121,1438,"FL","BOS","MCO",1823,2112,"AS","MCO","SEA"
20111001,"BOS","SEA",830,1148,"B6","BOS","MCO",1808,2105,"AS","MCO","SEA"
20111001,"BOS","SEA",830,1148,"B6","BOS","MCO",1823,2112,"AS","MCO","SEA"
20111001,"BOS","SEA",1324,1629,"B6","BOS","MCO",1808,2105,"AS","MCO","SEA"
20110411,"BOS","DEN",559,857,"AA","BOS","MIA",1656,1906,"AA","MIA","DEN"
20110411,"BOS","DEN",559,857,"AA","BOS","MIA",1655,1920,"AA","MIA","DEN"
20110411,"BOS","DEN",900,1210,"AA","BOS","MIA",1656,1906,"AA","MIA","DEN"
20110411,"BOS","DEN",900,1210,"AA","BOS","MIA",1655,1920,"AA","MIA","DEN"
20110411,"BOS","DEN",703,1004,"AA","BOS","MIA",1656,1906,"AA","MIA","DEN"
20110411,"BOS","DEN",703,1004,"AA","BOS","MIA",1655,1920,"AA","MIA","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1353,1622,"UA","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1338,1609,"UA","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1450,1727,"US","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1846,2123,"US","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",2151,23,"US","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1846,2117,"US","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1451,1721,"US","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1731,2006,"OO","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1731,2008,"OO","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1443,1713,"F9","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",2156,20,"WN","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1738,2002,"WN","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",2153,25,"US","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1528,1800,"WN","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1750,2021,"WN","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1455,1721,"F9","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",2142,6,"WN","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1328,1602,"WN","PHX","DEN"
20110411,"BOS","DEN",607,915,"US","BOS","PHX",1544,1813,"UA","PHX","DEN"
20110411,"BOS","DEN",600,937,"UA","BOS","SFO",1931,2247,"UA","SFO","DEN"
20110411,"BOS","DEN",600,937,"UA","BOS","SFO",1304,1612,"UA","SFO","DEN"
20110411,"BOS","DEN",600,937,"UA","BOS","SFO",1929,2242,"UA","SFO","DEN"
20110411,"BOS","DEN",600,937,"UA","BOS","SFO",1300,1618,"UA","SFO","DEN"
20110411,"BOS","DEN",1114,1438,"UA","BOS","SFO",1931,2247,"UA","SFO","DEN"
20110411,"BOS","DEN",1114,1438,"UA","BOS","SFO",1929,2242,"UA","SFO","DEN"
20110411,"BOS","DEN",816,1148,"UA","BOS","SFO",1931,2247,"UA","SFO","DEN"
20110411,"BOS","DEN",816,1148,"UA","BOS","SFO",1929,2242,"UA","SFO","DEN"
20110615,"DCA","BOS",1153,1409,"US","DCA","MCO",1854,2149,"B6","MCO","BOS"
20110615,"DCA","BOS",1153,1409,"US","DCA","MCO",1805,2104,"DL","MCO","BOS"
20110615,"DCA","BOS",1153,1409,"US","DCA","MCO",1823,2114,"DL","MCO","BOS"
20110615,"DCA","BOS",1526,1824,"AA","DCA","MIA",2109,23,"AA","MIA","BOS"
20110615,"DCA","BOS",1526,1824,"AA","DCA","MIA",2118,14,"AA","MIA","BOS"
20110615,"DCA","BOS",841,1104,"AA","DCA","MIA",1730,2046,"AA","MIA","BOS"
20110615,"DCA","BOS",841,1104,"AA","DCA","MIA",1752,2045,"AA","MIA","BOS"
20110615,"DCA","BOS",841,1104,"AA","DCA","MIA",2109,23,"AA","MIA","BOS"
20110615,"DCA","BOS",841,1104,"AA","DCA","MIA",2118,14,"AA","MIA","BOS"
20110615,"DCA","BOS",841,1104,"AA","DCA","MIA",1326,1631,"AA","MIA","BOS"
20110615,"DCA","BOS",1146,1410,"AA","DCA","MIA",1730,2046,"AA","MIA","BOS"
20110615,"DCA","BOS",1146,1410,"AA","DCA","MIA",1752,2045,"AA","MIA","BOS"
20110615,"DCA","BOS",1146,1410,"AA","DCA","MIA",2109,23,"AA","MIA","BOS"
20110615,"DCA","BOS",1146,1410,"AA","DCA","MIA",2118,14,"AA","MIA","BOS"
20110615,"DCA","BOS",1249,1518,"AA","DCA","MIA",1730,2046,"AA","MIA","BOS"
20110615,"DCA","BOS",1249,1518,"AA","DCA","MIA",1752,2045,"AA","MIA","BOS"
20110615,"DCA","BOS",1249,1518,"AA","DCA","MIA",2109,23,"AA","MIA","BOS"
20110615,"DCA","BOS",1249,1518,"AA","DCA","MIA",2118,14,"AA","MIA","BOS"
20111121,"DEN","JFK",1638,2215,"WN","DEN","FLL",2143,20,"B6","FLL","JFK"
20111121,"DEN","JFK",600,923,"AA","DEN","ORD",1300,1604,"AA","ORD","JFK"
20111121,"DEN","JFK",600,923,"AA","DEN","ORD",1927,2217,"B6","ORD","JFK"
20111121,"DEN","JFK",855,1156,"UA","DEN","ORD",1300,1604,"AA","ORD","JFK"
20111121,"DEN","JFK",855,1156,"UA","DEN","ORD",1927,2217,"B6","ORD","JFK"
20110107,"LAX","DEN",718,1022,"OO","LAX","ASE",1201,1246,"OO","ASE","DEN"
20110107,"LAX","DEN",2231,700,"UA","LAX","BOS",954,1241,"UA","BOS","DEN"
20110107,"LAX","DEN",2340,827,"B6","LAX","BOS",756,1016,"UA","BOS","DEN"
20110107,"LAX","DEN",2340,827,"B6","LAX","BOS",954,1241,"UA","BOS","DEN"
20110107,"LAX","DEN",2340,827,"B6","LAX","BOS",834,1114,"WN","BOS","DEN"
20111224,"LAX","BOS",1508,1839,"WN","LAX","DEN",1749,2315,"UA","DEN","BOS"
20111224,"LAX","BOS",702,1041,"UA","LAX","DEN",1627,2201,"WN","DEN","BOS"
20111224,"LAX","BOS",702,1041,"UA","LAX","DEN",1431,2011,"UA","DEN","BOS"
20111224,"LAX","BOS",702,1041,"UA","LAX","DEN",1434,2009,"UA","DEN","BOS"
20111224,"LAX","BOS",702,1041,"UA","LAX","DEN",1749,2315,"UA","DEN","BOS"
20111224,"LAX","BOS",1509,1837,"UA","LAX","DEN",1749,2315,"UA","DEN","BOS"
20111224,"LAX","BOS",2100,23,"MQ","LAX","DEN",1035,1616,"B6","DEN","BOS"
20111224,"LAX","BOS",2100,23,"MQ","LAX","DEN",1031,1612,"UA","DEN","BOS"
20111224,"LAX","BOS",2100,23,"MQ","LAX","DEN",1031,1605,"B6","DEN","BOS"
20111224,"LAX","BOS",2100,23,"MQ","LAX","DEN",1057,1632,"WN","DEN","BOS"
20111224,"LAX","BOS",1117,1717,"WN","LAX","MDW",1622,1908,"WN","MDW","BOS"
20111224,"LAX","BOS",1117,1717,"WN","LAX","MDW",2014,2310,"WN","MDW","BOS"
20111224,"LAX","BOS",845,1444,"WN","LAX","MDW",1622,1908,"WN","MDW","BOS"
20111224,"LAX","BOS",845,1444,"WN","LAX","MDW",2014,2310,"WN","MDW","BOS"
20111224,"LAX","BOS",845,1444,"WN","LAX","MDW",1423,1728,"WN","MDW","BOS"
20111224,"LAX","BOS",1336,1941,"WN","LAX","MDW",2014,2310,"WN","MDW","BOS"
20111224,"LAX","BOS",704,1302,"WN","LAX","MDW",1622,1908,"WN","MDW","BOS"
20111224,"LAX","BOS",704,1302,"WN","LAX","MDW",2014,2310,"WN","MDW","BOS"
20111224,"LAX","BOS",704,1302,"WN","LAX","MDW",1423,1728,"WN","MDW","BOS"
20111224,"LAX","BOS",1143,1742,"FL","LAX","MKE",1841,2142,"FL","MKE","BOS"
20111224,"LAX","BOS",1143,1742,"FL","LAX","MKE",1836,2133,"FL","MKE","BOS"
20111224,"LAX","BOS",745,1330,"DL","LAX","MSP",1305,1644,"DL","MSP","BOS"
20111224,"LAX","BOS",745,1330,"DL","LAX","MSP",1301,1631,"DL","MSP","BOS"
20111224,"LAX","BOS",1438,2030,"AA","LAX","ORD",1811,2124,"B6","ORD","BOS"
20111224,"LAX","BOS",1438,2030,"AA","LAX","ORD",1818,2127,"B6","ORD","BOS"
20111224,"LAX","BOS",1438,2030,"AA","LAX","ORD",1941,2238,"UA","ORD","BOS"
20111224,"LAX","BOS",759,1346,"AA","LAX","ORD",1732,2034,"AA","ORD","BOS"
20111224,"LAX","BOS",759,1346,"AA","LAX","ORD",1732,2025,"AA","ORD","BOS"
20111224,"LAX","BOS",759,1346,"AA","LAX","ORD",1811,2124,"B6","ORD","BOS"
20111224,"LAX","BOS",759,1346,"AA","LAX","ORD",1818,2127,"B6","ORD","BOS"
20111224,"LAX","BOS",759,1346,"AA","LAX","ORD",1314,1616,"UA","ORD","BOS"
20111224,"LAX","BOS",759,1346,"AA","LAX","ORD",1602,1902,"UA","ORD","BOS"
20111224,"LAX","BOS",759,1346,"AA","LAX","ORD",1941,2238,"UA","ORD","BOS"
20111224,"LAX","BOS",759,1346,"AA","LAX","ORD",1319,1619,"AA","ORD","BOS"
20111224,"LAX","BOS",759,1346,"AA","LAX","ORD",1512,1811,"AA","ORD","BOS"
20111224,"LAX","BOS",933,1524,"AA","LAX","ORD",1732,2034,"AA","ORD","BOS"
20111224,"LAX","BOS",933,1524,"AA","LAX","ORD",1732,2025,"AA","ORD","BOS"
20111224,"LAX","BOS",933,1524,"AA","LAX","ORD",1811,2124,"B6","ORD","BOS"
20111224,"LAX","BOS",933,1524,"AA","LAX","ORD",1818,2127,"B6","ORD","BOS"
20111224,"LAX","BOS",933,1524,"AA","LAX","ORD",1602,1902,"UA","ORD","BOS"
20111224,"LAX","BOS",933,1524,"AA","LAX","ORD",1941,2238,"UA","ORD","BOS"
20111224,"LAX","BOS",933,1524,"AA","LAX","ORD",1512,1811,"AA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",1203,1501,"AA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",657,947,"AA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",853,1142,"B6","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",1314,1616,"UA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",1324,1620,"UA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",1014,1311,"UA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",1016,1311,"UA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",809,1105,"UA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",1602,1902,"UA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",1319,1619,"AA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",1329,1628,"AA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",1512,1811,"AA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",905,1201,"AA","ORD","BOS"
20111224,"LAX","BOS",2316,525,"AA","LAX","ORD",917,1223,"AA","ORD","BOS"
20111224,"LAX","BOS",1231,1828,"AA","LAX","ORD",1732,2034,"AA","ORD","BOS"
20111224,"LAX","BOS",1231,1828,"AA","LAX","ORD",1732,2025,"AA","ORD","BOS"
20111224,"LAX","BOS",1231,1828,"AA","LAX","ORD",1811,2124,"B6","ORD","BOS"
20111224,"LAX","BOS",1231,1828,"AA","LAX","ORD",1818,2127,"B6","ORD","BOS"
20111224,"LAX","BOS",1231,1828,"AA","LAX","ORD",1602,1902,"UA","ORD","BOS"
20111224,"LAX","BOS",1231,1828,"AA","LAX","ORD",1941,2238,"UA","ORD","BOS"
20111224,"LAX","BOS",1020,1616,"UA","LAX","ORD",1732,2034,"AA","ORD","BOS"
20111224,"LAX","BOS",1020,1616,"UA","LAX","ORD",1732,2025,"AA","ORD","BOS"
20111224,"LAX","BOS",1020,1616,"UA","LAX","ORD",1811,2124,"B6","ORD","BOS"
20111224,"LAX","BOS",1020,1616,"UA","LAX","ORD",1818,2127,"B6","ORD","BOS"
20111224,"LAX","BOS",1020,1616,"UA","LAX","ORD",1602,1902,"UA","ORD","BOS"
20111224,"LAX","BOS",1020,1616,"UA","LAX","ORD",1941,2238,"UA","ORD","BOS"
20111224,"LAX","BOS",1020,1616,"UA","LAX","ORD",1512,1811,"AA","ORD","BOS"
20111224,"LAX","BOS",1419,2019,"UA","LAX","ORD",1811,2124,"B6","ORD","BOS"
20111224,"LAX","BOS",1419,2019,"UA","LAX","ORD",1818,2127,"B6","ORD","BOS"
20111224,"LAX","BOS",1419,2019,"UA","LAX","ORD",1941,2238,"UA","ORD","BOS"
20111224,"LAX","BOS",1215,1804,"UA","LAX","ORD",1732,2034,"AA","ORD","BOS"
20111224,"LAX","BOS",1215,1804,"UA","LAX","ORD",1732,2025,"AA","ORD","BOS"
20111224,"LAX","BOS",1215,1804,"UA","LAX","ORD",1811,2124,"B6","ORD","BOS"
20111224,"LAX","BOS",1215,1804,"UA","LAX","ORD",1818,2127,"B6","ORD","BOS"
20111224,"LAX","BOS",1215,1804,"UA","LAX","ORD",1602,1902,"UA","ORD","BOS"
20111224,"LAX","BOS",1215,1804,"UA","LAX","ORD",1941,2238,"UA","ORD","BOS"
20110107,"LAX","DEN",608,659,"OO","LAX","SAN",1247,1552,"WN","SAN","DEN"
20110107,"LAX","DEN",608,659,"OO","LAX","SAN",1157,1455,"UA","SAN","DEN"
20110107,"LAX","DEN",608,659,"OO","LAX","SAN",1528,1836,"UA","SAN","DEN"
20110107,"LAX","DEN",608,659,"OO","LAX","SAN",1513,1831,"F9","SAN","DEN"
20110107,"LAX","DEN",608,659,"OO","LAX","SAN",1722,2025,"UA","SAN","DEN"
20110107,"LAX","DEN",608,659,"OO","LAX","SAN",1242,1551,"WN","SAN","DEN"
20110107,"LAX","DEN",608,659,"OO","LAX","SAN",1509,1820,"F9","SAN","DEN"
20110107,"LAX","DEN",608,659,"OO","LAX","SAN",2001,2306,"F9","SAN","DEN"
20110107,"LAX","DEN",608,659,"OO","LAX","SAN",1923,2228,"WN","SAN","DEN"
20110107,"LAX","DEN",1006,1053,"MQ","LAX","SAN",1513,1831,"F9","SAN","DEN"
20110107,"LAX","DEN",1006,1053,"MQ","LAX","SAN",1722,2025,"UA","SAN","DEN"
20110107,"LAX","DEN",1006,1053,"MQ","LAX","SAN",2001,2306,"F9","SAN","DEN"
20110107,"LAX","DEN",1006,1053,"MQ","LAX","SAN",1923,2228,"WN","SAN","DEN"
20111224,"LAX","BOS",2141,6,"AS","LAX","SEA",857,1702,"AS","SEA","BOS"
20111224,"LAX","BOS",2141,6,"AS","LAX","SEA",853,1733,"AS","SEA","BOS"
20110107,"LAX","DEN",740,1018,"OO","LAX","SEA",1303,1636,"AS","SEA","DEN"
20110107,"LAX","DEN",740,1018,"OO","LAX","SEA",1128,1449,"UA","SEA","DEN"
20110107,"LAX","DEN",740,1018,"OO","LAX","SEA",1109,1434,"WN","SEA","DEN"
20110107,"LAX","DEN",740,1018,"OO","LAX","SEA",1303,1625,"AS","SEA","DEN"
20110107,"LAX","DEN",740,1018,"OO","LAX","SEA",1302,1628,"WN","SEA","DEN"
